Property ID,Property Type,Location,Size,No of rooms,Year Built,Floor level,Building Condition,Price,Rent,Property Tax,Maintenance Cost,HOA Fees,Mortgage Interest Rate,Average Price per Square Meter,Price Change,Rental Yield,Days on Market
1,Apartment,Marzahn-Hellersdorf,115,2,1928,3,Poor,748567,3119,11229,7486,312,2.74,6509,3.57,5.0,99
2,Apartment,Schöneberg,119,2,2008,2,Good,244997,1021,3675,2450,102,3.32,2059,8.81,5.0,73
3,House,Schöneberg,40,2,1945,5,Good,184346,768,2765,1843,77,4.47,4609,5.23,5.0,89
4,Apartment,Treptow-Köpenick,124,3,1969,2,Fair,657128,2738,9857,6571,274,3.85,5299,-3.15,5.0,66
5,Apartment,Reinickendorf,150,1,2020,4,Fair,560567,2336,8409,5606,234,2.96,3737,3.81,5.0,41
6,Apartment,Marzahn-Hellersdorf,123,4,1913,1,Poor,813630,3390,12204,8136,339,2.93,6615,-1.16,5.0,97
7,House,Friedrichshain-Kreuzberg,96,1,1929,2,Fair,816046,3400,12241,8160,340,3.4,8500,-1.7,5.0,58
8,House,Spandau,145,3,1931,4,Poor,1262742,5261,18941,12627,526,2.91,8709,8.21,5.0,54
9,Apartment,Treptow-Köpenick,82,3,1919,1,Good,579301,2414,8690,5793,241,2.97,7065,-3.53,5.0,49
10,House,Lichtenberg,46,2,2007,5,Excellent,158812,662,2382,1588,66,3.38,3452,8.33,5.0,112
11,Apartment,Spandau,58,2,1982,5,Poor,307826,1283,4617,3078,128,4.3,5307,8.34,5.0,62
12,Apartment,Steglitz-Zehlendorf,49,2,1944,4,Fair,305314,1272,4580,3053,127,3.18,6231,5.21,5.0,56
13,Apartment,Marzahn-Hellersdorf,107,3,1962,2,Poor,893154,3721,13397,8932,372,2.62,8347,-3.6,5.0,60
14,House,Neukölln,150,1,1998,4,Poor,750045,3125,11251,7500,312,4.42,5000,4.1,5.0,67
15,Apartment,Treptow-Köpenick,63,3,1985,3,Excellent,416338,1735,6245,4163,174,4.23,6609,1.06,5.0,98
16,Apartment,Reinickendorf,124,1,2016,5,Fair,279136,1163,4187,2791,116,3.63,2251,6.65,5.0,37
17,House,Mitte,104,4,1924,5,Fair,847783,3532,12717,8478,353,3.07,8152,7.36,5.0,100
18,Apartment,Neukölln,144,3,1912,4,Good,329051,1371,4936,3291,137,2.79,2285,-1.65,5.0,80
19,Apartment,Spandau,103,4,1918,4,Good,522706,2178,7841,5227,218,2.94,5075,0.59,5.0,82
20,Apartment,Reinickendorf,52,4,1913,4,Excellent,351116,1463,5267,3511,146,3.85,6752,8.54,5.0,35
21,House,Steglitz-Zehlendorf,141,3,2000,1,Fair,1086808,4528,16302,10868,453,4.35,7708,-0.78,5.0,97
22,Apartment,Charlottenburg-Wilmersdorf,149,1,2010,3,Poor,658494,2744,9877,6585,274,3.44,4419,7.96,5.0,115
23,Apartment,Marzahn-Hellersdorf,79,4,1907,5,Poor,490550,2044,7358,4906,204,4.35,6209,-1.08,5.0,107
24,Apartment,Schöneberg,122,2,1954,5,Poor,506189,2109,7593,5062,211,3.79,4149,9.16,5.0,109
25,Apartment,Neukölln,127,3,1953,2,Excellent,941592,3923,14124,9416,392,3.73,7414,6.77,5.0,113
26,Apartment,Marzahn-Hellersdorf,95,2,2003,2,Excellent,445481,1856,6682,4455,186,2.83,4689,-3.01,5.0,96
27,Apartment,Lichtenberg,59,2,1929,1,Poor,495031,2063,7425,4950,206,4.27,8390,-3.76,5.0,111
28,Apartment,Charlottenburg-Wilmersdorf,109,1,1956,3,Poor,543073,2263,8146,5431,226,3.47,4982,3.37,5.0,45
29,Apartment,Neukölln,85,2,1912,1,Poor,219985,917,3300,2200,92,2.56,2588,9.93,5.0,42
30,House,Schöneberg,114,4,1943,5,Excellent,226998,946,3405,2270,95,3.26,1991,-0.85,5.0,112
31,Apartment,Tempelhof-Schöneberg,106,1,1987,3,Fair,808368,3368,12126,8084,337,2.99,7626,2.34,5.0,50
32,Apartment,Neukölln,44,1,1924,1,Poor,290650,1211,4360,2906,121,4.01,6606,3.61,5.0,89
33,Apartment,Treptow-Köpenick,128,1,1927,1,Fair,1108538,4619,16628,11085,462,3.72,8660,2.1,5.0,30
34,Apartment,Charlottenburg-Wilmersdorf,80,1,1923,2,Good,501874,2091,7528,5019,209,2.87,6273,6.48,5.0,57
35,Apartment,Charlottenburg-Wilmersdorf,92,2,1982,4,Fair,278350,1160,4175,2784,116,3.35,3026,-3.89,5.0,63
36,House,Treptow-Köpenick,137,4,1994,4,Excellent,576029,2400,8640,5760,240,3.27,4205,-1.49,5.0,99
37,House,Spandau,145,4,1985,3,Poor,928295,3868,13924,9283,387,2.85,6402,-4.43,5.0,48
38,House,Mitte,148,2,1944,1,Excellent,931351,3881,13970,9314,388,3.89,6293,3.83,5.0,49
39,House,Prenzlauer Berg,63,2,1915,2,Poor,537165,2238,8057,5372,224,3.41,8526,-3.24,5.0,78
40,House,Charlottenburg-Wilmersdorf,139,3,1912,4,Good,978827,4078,14682,9788,408,4.27,7042,6.78,5.0,103
41,Apartment,Friedrichshain-Kreuzberg,35,4,1968,5,Good,107708,449,1616,1077,45,2.98,3077,1.42,5.0,43
42,House,Schöneberg,49,1,1989,5,Fair,290552,1211,4358,2906,121,3.33,5930,2.61,5.0,52
43,House,Spandau,63,1,1944,2,Fair,457826,1908,6867,4578,191,4.28,7267,-1.79,5.0,84
44,House,Mitte,73,2,2003,3,Good,375604,1565,5634,3756,156,2.76,5145,5.7,5.0,119
45,Apartment,Charlottenburg-Wilmersdorf,65,3,2017,1,Good,218720,911,3281,2187,91,4.22,3365,6.75,5.0,116
46,House,Treptow-Köpenick,59,3,1901,3,Excellent,280070,1167,4201,2801,117,3.79,4747,7.77,5.0,63
47,House,Schöneberg,34,4,1916,2,Good,229248,955,3439,2292,96,3.94,6743,8.93,5.0,92
48,Apartment,Reinickendorf,81,3,2023,5,Excellent,507215,2113,7608,5072,211,4.24,6262,3.26,5.0,31
49,House,Neukölln,86,1,1974,3,Fair,330036,1375,4951,3300,138,4.01,3838,9.85,5.0,63
50,Apartment,Spandau,135,3,1942,3,Poor,741309,3089,11120,7413,309,4.45,5491,-4.5,5.0,94
51,House,Lichtenberg,135,3,2007,5,Excellent,713690,2974,10705,7137,297,3.61,5287,-1.12,5.0,75
52,House,Steglitz-Zehlendorf,60,4,1945,1,Good,404631,1686,6069,4046,169,3.19,6744,9.55,5.0,98
53,House,Spandau,103,2,2003,4,Excellent,896402,3735,13446,8964,374,3.63,8703,4.56,5.0,74
54,House,Mitte,34,3,1952,1,Good,86426,360,1296,864,36,3.17,2542,4.3,5.0,108
55,Apartment,Spandau,117,3,1902,2,Poor,516538,2152,7748,5165,215,3.59,4415,-2.52,5.0,109
56,House,Spandau,70,4,1927,4,Excellent,168383,702,2526,1684,70,4.36,2405,-3.07,5.0,98
57,House,Schöneberg,150,4,1904,2,Fair,1012243,4218,15184,10122,422,3.79,6748,8.86,5.0,64
58,Apartment,Schöneberg,35,3,1931,3,Poor,80808,337,1212,808,34,4.22,2309,1.15,5.0,111
59,House,Treptow-Köpenick,60,1,2001,4,Fair,209154,871,3137,2092,87,2.74,3486,-1.17,5.0,31
60,Apartment,Treptow-Köpenick,123,3,1947,1,Excellent,689565,2873,10343,6896,287,2.63,5606,-4.25,5.0,72
61,House,Lichtenberg,103,3,1901,3,Poor,757618,3157,11364,7576,316,3.91,7356,-3.89,5.0,98
62,House,Schöneberg,119,4,1991,1,Good,581060,2421,8716,5811,242,3.13,4883,-4.13,5.0,52
63,House,Prenzlauer Berg,121,3,2022,5,Excellent,437481,1823,6562,4375,182,3.26,3616,-3.59,5.0,89
64,House,Neukölln,73,4,1965,3,Excellent,337544,1406,5063,3375,141,2.84,4624,5.51,5.0,59
65,Apartment,Marzahn-Hellersdorf,101,4,2021,1,Excellent,566447,2360,8497,5664,236,2.52,5608,4.53,5.0,116
66,House,Neukölln,150,3,2005,3,Fair,958812,3995,14382,9588,400,4.45,6392,9.46,5.0,73
67,House,Schöneberg,117,2,1952,4,Poor,294615,1228,4419,2946,123,3.11,2518,8.5,5.0,73
68,House,Prenzlauer Berg,42,2,1965,4,Fair,273861,1141,4108,2739,114,3.44,6520,2.32,5.0,67
69,House,Schöneberg,111,2,1952,2,Fair,788127,3284,11822,7881,328,3.96,7100,8.59,5.0,67
70,Apartment,Neukölln,70,2,1928,2,Fair,325165,1355,4877,3252,136,4.07,4645,8.94,5.0,82
71,House,Spandau,98,4,1998,3,Excellent,495787,2066,7437,4958,207,2.69,5059,-2.85,5.0,109
72,House,Tempelhof-Schöneberg,98,3,1918,4,Fair,671337,2797,10070,6713,280,3.73,6850,-3.76,5.0,77
73,House,Treptow-Köpenick,68,4,1984,3,Good,249763,1041,3746,2498,104,3.17,3673,-2.79,5.0,31
74,Apartment,Mitte,56,4,1949,3,Fair,93396,389,1401,934,39,3.09,1668,8.47,5.0,42
75,House,Prenzlauer Berg,143,1,1976,1,Excellent,870238,3626,13054,8702,363,3.5,6086,2.3,5.0,70
76,Apartment,Schöneberg,71,3,1948,4,Fair,336623,1403,5049,3366,140,4.35,4741,7.33,5.0,32
77,Apartment,Steglitz-Zehlendorf,73,3,1908,5,Good,581492,2423,8722,5815,242,3.95,7966,-4.93,5.0,114
78,Apartment,Friedrichshain-Kreuzberg,50,3,1993,3,Excellent,191722,799,2876,1917,80,3.82,3834,6.15,5.0,93
79,Apartment,Schöneberg,47,4,1971,3,Good,181202,755,2718,1812,76,4.2,3855,-4.61,5.0,42
80,House,Marzahn-Hellersdorf,133,1,2006,2,Excellent,269600,1123,4044,2696,112,3.47,2027,-2.54,5.0,119
81,Apartment,Charlottenburg-Wilmersdorf,60,4,1971,1,Excellent,500793,2087,7512,5008,209,4.07,8347,7.22,5.0,61
82,Apartment,Mitte,120,4,1924,1,Poor,383761,1599,5756,3838,160,2.71,3198,8.36,5.0,89
83,Apartment,Schöneberg,82,4,1913,1,Good,541536,2256,8123,5415,226,4.48,6604,1.63,5.0,83
